,generated_animation,valence,arousal,dominance
0,negative_high_LD2_216.csv,0.6155,0.6465,0.5725
1,negative_high_LD2_225.csv,0.3965,0.6465,0.4475
2,negative_low_LD1_141.csv,0.386,0.3855,0.278
3,negative_low_LD2_132.csv,0.3845,0.4625,0.298
4,negative_medium_LD1_186.csv,0.5515,0.6195,0.451
5,negative_medium_LD2_177.csv,0.4105,0.526,0.338
6,neutral_high_LD1_232.csv,0.556,0.702,0.557
7,neutral_high_LD2_232.csv,0.526,0.5445,0.393
8,neutral_low_LD2_130.csv,0.4965,0.567,0.5105
9,neutral_low_LD3_127.csv,0.537,0.4835,0.4355
10,neutral_medium_LD1_187.csv,0.5555,0.507,0.4555
11,neutral_medium_LD3_184.csv,0.567,0.486,0.376
12,positive_high_LD1_239.csv,0.6205,0.6035,0.5205
13,positive_high_LD3_230.csv,0.5975,0.614,0.612
14,positive_low_LD2_128.csv,0.5295,0.513,0.482
15,positive_low_LD3_134.csv,0.506,0.583,0.5225
16,positive_medium_LD1_191.csv,0.6195,0.537,0.4885
17,positive_medium_LD3_185.csv,0.5555,0.597,0.506
